   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 voronoi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:558(opener)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idtracking.py:232(FrameSymbolVisitor)
        1    0.000    0.000    0.002    0.002 __init__.py:104(namelist)
        1    0.000    0.000    0.167    0.167 registry.py:72(_after_init)
        1    0.000    0.000    0.000    0.000 openbabel.py:2798(OBDescriptor)
        1    0.000    0.000    0.000    0.000 lsqr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 config.py:489(refresh)
        1    0.000    0.000    0.145    0.145 defparser.py:104(parse_file)
        1    0.000    0.000    0.000    0.000 openmm.py:13815(System)
        7    0.000    0.000    0.000    0.000 block.py:27(from_string)
       29    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1015(_set_tstate_lock)
       12    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 load.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _ufunc_config.py:426(__init__)
        2    0.000    0.000    0.000    0.000 {method 'tobytes' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:121(GzipFile)
       10    0.000    0.000    0.000    0.000 zipfile.py:925(readable)
        1    0.000    0.000    0.000    0.000 openmm.py:6216(GayBerneForce)
        1    0.000    0.000    0.000    0.000 openbabel.py:105(vectorInt)
        1    0.000    0.000    0.000    0.000 datetime.py:573(timedelta)
        1    0.000    0.000    0.000    0.000 spectral_graph_forge.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {method 'seek' of '_io.StringIO' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 openmm.py:594(vectori)
        2    0.000    0.000    0.145    0.072 defparser.py:53(parse_file)
        5    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.vectorString_iterator}
        1    0.000    0.000    0.000    0.000 openbabel.py:3528(OBRotamerList)
        1    0.000    0.000    0.000    0.000 openbabel.py:1568(OBMessageHandler)
       22    0.000    0.000    0.000    0.000 enum.py:442(<genexpr>)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
        1    0.000    0.000    0.039    0.039 _laplacian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.OBTorsion_swigregister}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _data.py:19(_data_matrix)
        1    0.000    0.000    0.000    0.000 pseudo_diffs.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 abc.py:13(ResourceReader)
        8    0.000    0.000    0.000    0.000 dataclasses.py:327(__set_name__)
        4    0.000    0.000    0.000    0.000 _adapters.py:12(__init__)
        1    0.000    0.000    0.000    0.000 gexf.py:180(GEXF)
        1    0.000    0.000    0.000    0.000 second_order.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:87(CompleteDirs)
        1    0.000    0.000    0.000    0.000 openmm.py:11790(RPMDIntegrator)
        1    0.000    0.000    0.000    0.000 openbabel.py:2126(OBInternalCoord)
        5    0.000    0.000    0.000    0.000 ma.py:30(_wrap_masked)
        5    0.000    0.000    0.000    0.000 __init__.py:594(_discover_resolvers)
        1    0.000    0.000    0.000    0.000 nonisomorphic_trees.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openbabel.py:3748(__init__)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 backends.py:313(ArrayBackendEntrypoint)
        2    0.000    0.000    0.000    0.000 flexparser.py:315(__init__)
        1    0.000    0.000    0.000    0.000 platform.py:919(system)
        1    0.000    0.000    0.000    0.000 _decomp_cholesky.py:1(<module>)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 __init__.py:502(TLRUCache)
        1    0.000    0.000    0.000    0.000 RDLogger.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functoolz.py:473(Compose)
        1    0.000    0.000    0.000    0.000 __init__.py:42(Cache)
        1    0.000    0.000    0.000    0.000 loaders.py:473(PrefixLoader)
        3    0.000    0.000    0.000    0.000 runtime.py:134(_dict_method_all)
        1    0.000    0.000    0.000    0.000 loaders.py:42(BaseLoader)
        1    0.000    0.000    0.000    0.000 dsolve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openbabel.py:2600(OBRing)
        6    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 openmm.py:5658(MonteCarloFlexibleBarostat)
        1    0.000    0.000    0.000    0.000 nx_latex.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 _decomp_qr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openmm.py:1121(mapstringdouble)
       20    0.000    0.000    0.000    0.000 typing.py:2880(<genexpr>)
       13    0.000    0.000    0.000    0.000 delayed.py:515(right)
        3    0.000    0.000    0.000    0.000 converters.py:40(__init_subclass__)
        1    0.000    0.000    0.000    0.000 runtime.py:655(Macro)
        5    0.000    0.000    0.000    0.000 openbabel.py:224(__iter__)
        1    0.000    0.000    0.007    0.007 composer.py:29(get_single_node)
        1    0.000    0.000    0.000    0.000 openbabel.py:381(vectorpOBRing)
       33    0.000    0.000    0.000    0.000 {built-in method _operator.sub}
        1    0.000    0.000    0.000    0.000 __init__.py:281(DeprecatedList)
        1    0.000    0.000    0.000    0.000 reaching.py:1(<module>)
       13    0.000    0.000    0.000    0.000 utils.py:63(pass_environment)
        1    0.000    0.000    0.000    0.000 openmm.py:14206(CustomCompoundBondForce)
       30    0.000    0.000    0.000    0.000 zipfile.py:1560(<lambda>)
       22    0.000    0.000    0.000    0.000 _compat.py:48(find_spec)
        4    0.000    0.000    0.000    0.000 reader.py:146(update)
        6    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 zipfile.py:2310(Path)
        1    0.000    0.000    0.000    0.000 definitions.py:70(PrefixDefinition)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1293(_get_parent_path)
        2    0.000    0.000    0.000    0.000 typing.py:2969(<dictcomp>)
        1    0.000    0.000    0.000    0.000 bccache.py:101(BytecodeCache)
        2    0.000    0.000    0.000    0.000 matfuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2384(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:47(get_package)
        1    0.000    0.000    0.007    0.007 constructor.py:47(get_single_data)
        1    0.000    0.000    0.000    0.000 lsmr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 index_tricks.py:310(AxisConcatenator)
        4    0.000    0.000    0.000    0.000 _adapters.py:35(__init__)
        1    0.000    0.000    0.000    0.000 lexer.py:317(TokenStream)
        1    0.000    0.000    0.000    0.000 _index.py:25(IndexMixin)
        2    0.000    0.000    0.000    0.000 datetime.py:923(__new__)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       20    0.000    0.000    0.000    0.000 mymatrix.py:160(numRows)
        2    0.000    0.000    0.000    0.000 zipfile.py:242(_EndRecData64)
       49    0.000    0.000    0.000    0.000 inspect.py:589(<lambda>)
        4    0.000    0.000    0.004    0.001 __init__.py:624(_normalized_name)
        2    0.000    0.000    0.000    0.000 __init__.py:426(<genexpr>)
        1    0.000    0.000    0.000    0.000 ambertools_wrapper.py:28(AmberToolsToolkitWrapper)
        1    0.000    0.000    0.000    0.000 openbabel.py:2859(OBFFParameter)
        1    0.000    0.000    0.000    0.000 mis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 branchings.py:1383(ArborescenceIterator)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        2    0.000    0.000    0.001    0.001 _common.py:51(files)
        2    0.000    0.000    0.000    0.000 flexparser.py:457(__init__)
        3    0.000    0.000    0.000    0.000 quantity.py:394(__truediv__)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:336(_ExpmPadeHelper)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1276(IPv4Address)
       12    0.000    0.000    0.000    0.000 __init__.py:1273(append)
        1    0.000    0.000    0.000    0.000 bethehessianmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loaders.py:428(FunctionLoader)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        9    0.000    0.000    0.000    0.000 definitions.py:213(__post_init__)
       29    0.000    0.000    0.000    0.000 {built-in method _operator.iadd}
        2    0.000    0.000    0.000    0.000 __init__.py:1076(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6540(MaskedConstant)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interval_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.sysconf}
        1    0.000    0.000    0.001    0.001 tempfile.py:114(_sanitize_params)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reportviews.py:116(NodeView)
        1    0.000    0.000    0.000    0.000 parser.py:72(Parser)
        1    0.000    0.000    0.000    0.000 loaders.py:536(ChoiceLoader)
        2    0.000    0.000    0.000    0.000 exceptions.py:12(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:264(_reset_cache)
       14    0.000    0.000    0.000    0.000 inspect.py:283(ismodule)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1135(_BaseV4)
        1    0.000    0.000    0.000    0.000 beamsearch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1311(__iter__)
        3    0.000    0.000    0.000    0.000 __init__.py:20(check_dask_array)
        1    0.000    0.000    0.000    0.000 lazy_imports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 abc.py:14(ResourceReader)
        1    0.000    0.000    0.000    0.000 moral.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graphmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:115(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 definitions.py:18(GroupDefinition)
        2    0.000    0.000    0.000    0.000 model.py:264(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1297(_recalculate)
        2    0.000    0.000    0.000    0.000 functoolz.py:892(is_valid_args)
       23    0.000    0.000    0.000    0.000 utils.py:606(wrapper)
        4    0.000    0.000    0.000    0.000 zipfile.py:2476(__str__)
       14    0.000    0.000    0.000    0.000 _testutils.py:51(__init__)
        1    0.000    0.000    0.000    0.000 plural.py:535(_Compiler)
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
        2    0.000    0.000    0.000    0.000 contextlib.py:77(__call__)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openmm.py:804(vectorpairii)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:58(Sectioned)
        1    0.000    0.000    0.008    0.008 reader.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _signatures.py:615(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:266(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 openbabel.py:3129(OBBuilder)
       13    0.000    0.000    0.000    0.000 mixins.py:36(_inplace_binary_method)
       14    0.000    0.000    0.000    0.000 __init__.py:683(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:679(__new__)
       34    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1393(IPv4Interface)
       24    0.000    0.000    0.000    0.000 message.py:633(get_default_type)
        1    0.000    0.000    0.000    0.000 chains.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pep440.py:285(Version)
        2    0.000    0.000    0.000    0.000 blas.py:377(_memoize_get_funcs)
        2    0.000    0.000    0.000    0.000 readers.py:132(__init__)
        1    0.000    0.000    0.000    0.000 flexparser.py:542(ParsedStatement)
        1    0.000    0.000    0.000    0.000 unit.py:46(Unit)
        7    0.000    0.000    0.000    0.000 rdkit_wrapper.py:116(is_available)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 functoolz.py:916(is_arity)
        1    0.000    0.000    0.000    0.000 lexer.py:141(<dictcomp>)
        5    0.000    0.000    0.000    0.000 core.py:183(decorator)
        1    0.000    0.000    0.000    0.000 _index.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _compat.py:93(wrap_spec)
        1    0.000    0.000    0.000    0.000 _dia.py:16(_dia_base)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        9    0.000    0.000    0.000    0.000 dicttoolz.py:11(_get_factory)
        1    0.000    0.000    0.000    0.000 dominating.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:96(set_application_registry)
        1    0.000    0.000    0.000    0.000 pool.py:745(ApplyResult)
        1    0.000    0.000    0.000    0.000 objects.py:20(_get_non_multiplicative_units)
        1    0.000    0.000    0.000    0.000 flexparser.py:200(is_relative_to)
        2    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 flexparser.py:873(RootBlock)
        1    0.000    0.000    0.000    0.000 openmm.py:14692(CustomCentroidBondForce)
        1    0.000    0.000    0.000    0.000 Image.py:3595(Exif)
        1    0.000    0.000    0.000    0.000 tempfile.py:840(TemporaryDirectory)
       11    0.000    0.000    0.000    0.000 utils.py:81(from_obj)
        1    0.000    0.000    0.000    0.000 openmm.py:1014(mapstringstring)
        1    0.000    0.000    0.000    0.000 flexcache.py:102(BasicPythonHeader)
        1    0.000    0.000    0.000    0.000 mymatrix.py:1(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:804(__members__)
        1    0.000    0.000    0.000    0.000 __init__.py:280(EntryPoints)
        1    0.000    0.000    0.000    0.000 flexparser.py:230(DelimiterAction)
        8    0.000    0.000    0.000    0.000 decorators.py:263(np_random_state)
       22    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 ipaddress.py:2098(IPv6Interface)
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 scanner.py:48(__init__)
        1    0.000    0.000    0.000    0.000 blockwise.py:325(Blockwise)
        1    0.000    0.000    0.000    0.000 _logsumexp.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:1008(stat)
        1    0.000    0.000    0.000    0.000 _testutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openmm.py:10357(GBSAOBCForce)
        1    0.000    0.000    0.000    0.000 openmm.py:384(vectord)
        1    0.000    0.000    0.000    0.000 openbabel.py:2730(OBFingerprint)
        1    0.000    0.000    0.001    0.001 _common.py:17(files)
        2    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
        1    0.000    0.000    0.000    0.000 linalg.py:43(EighResult)
        1    0.000    0.000    0.000    0.000 abc.py:131(TraversableResources)
        1    0.000    0.000    0.000    0.000 redundancy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:622(DistributionFinder)
        1    0.000    0.000    0.000    0.000 loaders.py:152(FileSystemLoader)
        1    0.000    0.000    0.000    0.000 _interface.py:53(LinearOperator)
        1    0.000    0.000    0.000    0.000 openmm.py:7064(State)
        1    0.000    0.000    0.000    0.000 __init__.py:373(TTLCache)
        1    0.000    0.000    0.000    0.000 argparse.py:1715(ArgumentParser)
        1    0.000    0.000    0.000    0.000 vitality.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        1    0.000    0.000    0.000    0.000 events.py:1(<module>)
        8    0.000    0.000    0.000    0.000 mymatrix.py:163(numCols)
        1    0.000    0.000    0.000    0.000 eem_model.py:22(EEM_model)
        7    0.000    0.000    0.000    0.000 __init__.py:788(__new__)
        6    0.000    0.000    0.000    0.000 feedparser.py:208(_pop_message)
        1    0.000    0.000    0.007    0.007 composer.py:50(compose_document)
        1    0.000    0.000    0.000    0.000 parallel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sputils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 flexparser.py:959(Parser)
        1    0.000    0.000    0.000    0.000 openbabel.py:3722(OBAlign)
        2    0.000    0.000    0.000    0.000 threading.py:1516(_register_atexit)
        3    0.000    0.000    0.000    0.000 matchhelpers.py:21(copyfunc)
        1    0.000    0.000    0.000    0.000 openmm.py:4361(NoseHooverIntegrator)
        1    0.000    0.000    0.000    0.000 openmm.py:909(vectorstring)
        1    0.000    0.000    0.000    0.000 mtsintegrator.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:206(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3043(Checkbutton)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 readers.py:16(__init__)
        1    0.000    0.000    0.000    0.000 adjacency.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:31(SystemRegistry)
        1    0.000    0.000    0.000    0.000 openbabel.py:3356(OBStereoFacade)
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.001    0.001 tempfile.py:297(gettempdir)
        1    0.000    0.000    0.000    0.000 traceback.py:372(StackSummary)
        1    0.000    0.000    0.002    0.002 zipfile.py:2238(namelist)
        1    0.000    0.000    0.000    0.000 cp437.py:33(getregentry)
        3    0.000    0.000    0.000    0.000 __init__.py:377(exists)
        1    0.000    0.000    0.000    0.000 _csr.py:18(_csr_base)
        1    0.000    0.000    0.000    0.000 converters.py:19(Converter)
        1    0.000    0.000    0.000    0.000 objects.py:15(Group)
        1    0.000    0.000    0.000    0.000 openbabel.py:2880(OBFFCalculation2)
        1    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:549(from_name)
        1    0.000    0.000    0.000    0.000 openmm.py:8434(MonteCarloAnisotropicBarostat)
        1    0.000    0.000    0.000    0.000 openbabel.py:1508(OBPlugin)
       20    0.000    0.000    0.000    0.000 <frozen _collections_abc>:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 gml.py:276(Pattern)
        1    0.000    0.000    0.000    0.000 bccache.py:44(Bucket)
        1    0.000    0.000    0.000    0.000 _gcrotmk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1432(Logger)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
        1    0.000    0.000    0.025    0.025 registry.py:51(__init__)
        1    0.000    0.000    0.000    0.000 openmm.py:11327(NoseHooverChain)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
        2    0.000    0.000    0.000    0.000 readers.py:19(__init__)
        3    0.000    0.000    0.000    0.000 numerictypes.py:229(obj2sctype)
        1    0.000    0.000    0.000    0.000 openbabel.py:922(OBBase)
        1    0.000    0.000    0.000    0.000 openbabel.py:243(vectorVector3)
        1    0.000    0.000    0.000    0.000 openbabel.py:4147(OBSquarePlanarStereo)
        1    0.000    0.000    0.000    0.000 isomorphvf2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 objects.py:122(add_groups)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.new__OBMolAtomIter}
        1    0.000    0.000    0.000    0.000 openbabel.py:1091(OBConformerData)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lock.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:187(__getattr__)
        2    0.000    0.000    0.000    0.000 numpy_func.py:763(implement_mul_func)
        1    0.000    0.000    0.001    0.001 _adapters.py:151(_native)
        1    0.000    0.000    0.000    0.000 representer.py:13(BaseRepresenter)
        2    0.000    0.000    0.000    0.000 _collections.py:5(FreezableDefaultDict)
        1    0.000    0.000    0.000    0.000 message.py:972(MIMEPart)
        1    0.000    0.000    0.000    0.000 ismags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _testutils.py:101(_TestPythranFunc)
        1    0.000    0.000    0.000    0.000 runtime.py:339(BlockReference)
       12    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 sudoku.py:1(<module>)
        3    0.000    0.000    0.000    0.000 system.py:22(from_string)
        4    0.000    0.000    0.000    0.000 {method 'cache_clear' of 'functools._lru_cache_wrapper' objects}
        7    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
       15    0.000    0.000    0.000    0.000 version.py:453(_parse_letter_version)
        2    0.000    0.000    0.000    0.000 utils.py:78(_deprecated)
        1    0.000    0.000    0.000    0.000 _csc.py:17(_csc_base)
        1    0.000    0.000    0.000    0.000 _sketches.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.001    0.001 _flinalg_py.py:1(<module>)
        9    0.000    0.000    0.000    0.000 registry.py:493(_add_dimension)
        3    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel._OBMolAtomIter___ref__}
       16    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 temporalisomorphvf2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _psosx.py:140(cpu_times)
        4    0.000    0.000    0.000    0.000 plain.py:162(<genexpr>)
        1    0.000    0.000    0.000    0.000 openmm.py:489(vectorddd)
        1    0.000    0.000    0.000    0.000 openmm.py:699(vectorii)
        1    0.000    0.000    0.000    0.000 openbabel.py:4127(OBCisTransStereo)
        1    0.000    0.000    0.000    0.000 system.py:95(derive_definition)
        1    0.000    0.000    0.000    0.000 tempfile.py:449(__del__)
        1    0.000    0.000    0.000    0.000 random.py:215(__init_subclass__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:511(<lambda>)
        2    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_blake2.blake2b' objects}
        1    0.000    0.000    0.000    0.000 readers.py:53(MultiplexedPath)
        1    0.000    0.000    0.000    0.000 hierarchy.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:475(version)
        1    0.000    0.000    0.000    0.000 _spherical_bessel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:24(GroupRegistry)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.FptIndexHeader_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.OBStereo_swigregister}
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 openbabel.py:1291(OBRotationData)
        1    0.000    0.000    0.000    0.000 openbabel.py:4166(OBTetrahedralConfig)
        1    0.000    0.000    0.000    0.000 ufunc.py:72(ufunc)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(StreamHandler)
        1    0.000    0.000    0.000    0.000 harmonic.py:1(<module>)
       17    0.000    0.000    0.000    0.000 events.py:5(__init__)
        1    0.000    0.000    0.000    0.000 openmm.py:1443(Force)
        1    0.000    0.000    0.000    0.000 openmm.py:358(pairii)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.vectorvInt_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.vectorOBResidue_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.vectorOBRing_swigregister}
        1    0.000    0.000    0.000    0.000 registry.py:39(ContextRegistry)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
       27    0.000    0.000    0.000    0.000 inspect.py:3036(return_annotation)
        1    0.000    0.000    0.000    0.000 zipfile.py:346(ZipInfo)
        1    0.000    0.000    0.000    0.000 tfqmr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 objects.py:225(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.OBOrbital_swigregister}
        2    0.000    0.000    0.000    0.000 <frozen os>:688(__delitem__)
        1    0.000    0.000    0.000    0.000 linalg.py:47(QRResult)
        1    0.000    0.000    0.000    0.000 __init__.py:779(FastPath)
        8    0.000    0.000    0.000    0.000 _build_tlz.py:51(create_module)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 openmm.py:2479(DrudeForce)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1932(_SpecialForm)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.OBElectronicTransitionData_swigregister}
        1    0.000    0.000    0.000    0.000 definitions.py:61(__post_init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:7(TemplateError)
        1    0.000    0.000    0.000    0.000 _py39compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 layers.py:1090(DataFrameTreeReduction)
        1    0.000    0.000    0.000    0.000 tiledb_io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pybel.py:962(MoleculeData)
        1    0.000    0.000    0.000    0.000 {built-in method openbabel._openbabel.vectorULong_swigregister}
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:34(DaskQuantity)
        3    0.000    0.000    0.000    0.000 {built-in method maketrans}
       14    0.000    0.000    0.000    0.000 decorator.py:195(<genexpr>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 threading.py:644(Barrier)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 __init__.py:351(EntryPoints)
        1    0.000    0.000    0.000    0.000 scanner.py:359(fetch_stream_start)
        1    0.000    0.000    0.001    0.001 __init__.py:465(name)
       10    0.000    0.000    0.000    0.000 constructor.py:220(construct_yaml_null)
        6    0.000    0.000    0.000    0.000 util.py:357(copy)
        1    0.000    0.000    0.000    0.000 openbabel.py:2770(FastSearch)
        2    0.000    0.000    0.145    0.072 flexparser.py:989(parse)
        4    0.000    0.000    0.000    0.000 objects.py:89(iter_used_groups)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:452(_no_nep50_warning)
        3    0.000    0.000    0.000    0.000 __init__.py:1646(addHandler)
        1    0.000    0.000    0.000    0.000 utils.py:1533(<dictcomp>)
