   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1282    0.000    0.000    0.002    0.000 __init__.py:35(_ancestry)
      756    0.000    0.000    0.001    0.000 __init__.py:236(matches)
     1282    0.000    0.000    0.002    0.000 zipfile.py:2192(_ancestry)
     4009    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     2910    0.000    0.000    0.000    0.000 reader.py:87(peek)
     1426    0.000    0.000    0.043    0.000 flexparser.py:721(body_classes)
      855    0.000    0.000    0.001    0.000 flexparser.py:572(from_string_and_config)
     2793    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1011    0.000    0.000    0.001    0.000 __init__.py:315(_subx)
        2    0.000    0.000    0.000    0.000 {built-in method posix.access}
      111    0.000    0.000    0.003    0.000 util.py:777(string_preprocessor)
     1256    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     2241    0.000    0.000    0.000    0.000 util.py:419(__hash__)
     4168    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      954    0.000    0.000    0.026    0.000 inspect.py:3278(signature)
     1549    0.000    0.000    0.001    0.000 _parser.py:286(tell)
      677    0.000    0.000    0.005    0.000 scanner.py:113(check_token)
   347/74    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     4450    0.000    0.000    0.000    0.000 mymatrix.py:90(__getitem__)
1377/1245    0.000    0.000    0.001    0.000 typing.py:1371(__hash__)
      308    0.000    0.000    0.001    0.000 enum.py:1516(__and__)
      251    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
      334    0.000    0.000    0.001    0.000 inspect.py:391(_has_code_flag)
        5    0.000    0.000    0.001    0.000 __init__.py:380(<genexpr>)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
     4080    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      300    0.000    0.000    0.001    0.000 dataclasses.py:664(_is_type)
      991    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      123    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      325    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
      927    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1245    0.000    0.000    0.003    0.000 flexparser.py:503(peek)
      767    0.000    0.000    0.001    0.000 __init__.py:1020(__contains__)
     1743    0.000    0.000    0.001    0.000 util.py:407(__iter__)
      154    0.000    0.000    0.023    0.000 _parser.py:972(parse)
     1099    0.000    0.000    0.000    0.000 scanner.py:279(stale_possible_simple_keys)
      945    0.000    0.000    0.001    0.000 __init__.py:442(_make)
